Team 1,Team 2,Toss_Winner,Toss_Decision,Series,Season,Player Of The Match,Match_Day,Umpires,Match Info,Target,Winner_Team,won_by_margin
Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,Nepal Premier League,2024/25,Lahiru Milantha,30 November 2024,"['Durga Subedi', 'Vinay Kumar']",Janakpur won by 8 wickets (with 27 balls remaining),127,Janakpur,8 wickets (with 27 balls remaining)
Kathmandu Gurkhas,Chitwan Rhinos,Chitwan Rhinos,field,Nepal Premier League,2024/25,Sohail Tanvir,02 December 2024,"['Buddhi Pradhan', 'Himal Giri']",Chitwan won by 5 wickets (with 17 balls remaining),111/9,Chitwan,5 wickets (with 17 balls remaining)
Karnali Yaks,Janakpur Bolts,Karnali Yaks,bat,Nepal Premier League,2024/25,Anil Sah,02 December 2024,"['Bismillah Jan Shinwari', 'Rashid Riaz']",Janakpur won by 8 wickets (with 29 balls remaining),141/7,Janakpur,8 wickets (with 29 balls remaining)
Sudur Paschim,Biratnagar Kings,Biratnagar Kings,field,Nepal Premier League,2024/25,Dipendra Singh Airee,03 December 2024,"['Durga Subedi', 'Himal Giri']",S Paschim won by 90 runs,182/7,S Paschim,90 runs
Chitwan Rhinos,Pokhara Avengers,Pokhara Avengers,field,Nepal Premier League,2024/25,Rijan Dhakal,03 December 2024,"['Bismillah Jan Shinwari', 'Vinay Kumar']",Chitwan won by 87 runs,161/7,Chitwan,87 runs
Karnali Yaks,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Nepal Premier League,2024/25,Sumit Maharjan,04 December 2024,"['Himal Giri', 'Rashid Riaz']",Kathmandu won by 3 wickets (with 3 balls remaining),149/5,Kathmandu,3 wickets (with 3 balls remaining)
Lumbini Lions,Biratnagar Kings,Biratnagar Kings,field,Nepal Premier League,2024/25,Lokesh Bam,04 December 2024,"['Bismillah Jan Shinwari', 'Buddhi Pradhan']",Biratnagar won by 2 wickets (with 1 ball remaining),191/7,Biratnagar,2 wickets (with 1 ball remaining)
Pokhara Avengers,Janakpur Bolts,Janakpur Bolts,field,Nepal Premier League,2024/25,James Neesham,05 December 2024,"['Durga Subedi', 'Vinay Kumar']",Janakpur won by 7 wickets (with 17 balls remaining),138/7,Janakpur,7 wickets (with 17 balls remaining)
Sudur Paschim,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Nepal Premier League,2024/25,Naren Saud,05 December 2024,"['Himal Giri', 'Rashid Riaz']",S Paschim won by 73 runs,167/6,S Paschim,73 runs
Chitwan Rhinos,Karnali Yaks,Karnali Yaks,field,Nepal Premier League,2024/25,Bipin Sharma,06 December 2024,"['Bismillah Jan Shinwari', 'Durga Subedi']",Karnali won by 6 wickets (with 1 ball remaining),130/7,Karnali,6 wickets (with 1 ball remaining)
Lumbini Lions,Pokhara Avengers,Lumbini Lions,bat,Nepal Premier League,2024/25,Andries Gous,06 December 2024,"['Buddhi Pradhan', 'Himal Giri']",Pokhara won by 10 wickets (with 19 balls remaining),170/5,Pokhara,10 wickets (with 19 balls remaining)
Sudur Paschim,Lumbini Lions,Lumbini Lions,field,Nepal Premier League,2024/25,Saif Zaib,07 December 2024,"['Buddhi Pradhan', 'Rashid Riaz']",S Paschim won by 45 runs,187/4,S Paschim,45 runs
Karnali Yaks,Biratnagar Kings,Biratnagar Kings,field,Nepal Premier League,2024/25,William Bosisto,07 December 2024,"['Himal Giri', 'Vinay Kumar']",Karnali won by 7 runs,133,Karnali,7 runs
Janakpur Bolts,Lumbini Lions,Lumbini Lions,field,Nepal Premier League,2024/25,Harsh Thaker,08 December 2024,"['Durga Subedi', 'Himal Giri']",Janakpur won by 1 run,136/9,Janakpur,1 run
Chitwan Rhinos,Sudur Paschim,Chitwan Rhinos,bat,Nepal Premier League,2024/25,Hassan Eisakhil,08 December 2024,"['Bismillah Jan Shinwari', 'Rashid Riaz']",Chitwan won by 33 runs,164/5,Chitwan,33 runs
Lumbini Lions,Chitwan Rhinos,Chitwan Rhinos,field,Nepal Premier League,2024/25,Rohit Paudel,10 December 2024,"['Buddhi Pradhan', 'Himal Giri']",Lumbini won by 33 runs,167/6,Lumbini,33 runs
Pokhara Avengers,Karnali Yaks,Pokhara Avengers,bat,Nepal Premier League,2024/25,William Bosisto,10 December 2024,"['Bismillah Jan Shinwari', 'Sanjay Gurung']",Karnali won by 7 wickets (with 30 balls remaining),103,Karnali,7 wickets (with 30 balls remaining)
Sudur Paschim,Janakpur Bolts,Janakpur Bolts,field,Nepal Premier League,2024/25,Ishan Pandey,11 December 2024,"['Durga Subedi', 'Vinay Kumar']",S Paschim won by 72 runs,123/9,S Paschim,72 runs
Kathmandu Gurkhas,Lumbini Lions,Kathmandu Gurkhas,bat,Nepal Premier League,2024/25,Karan KC,11 December 2024,"['Himal Giri', 'Rashid Riaz']",Kathmandu won by 18 runs,103,Kathmandu,18 runs
Biratnagar Kings,Pokhara Avengers,Biratnagar Kings,bat,Nepal Premier League,2024/25,Raymon Reifer,12 December 2024,"['Bismillah Jan Shinwari', 'Vinay Kumar']",Match tied (Pokhara won the Super Over),139/7,,
Kathmandu Gurkhas,Janakpur Bolts,Kathmandu Gurkhas,bat,Nepal Premier League,2024/25,Lalit Rajbanshi,12 December 2024,"['Himal Giri', 'Sanjay Gurung']",Janakpur won by 5 wickets (with 25 balls remaining),101,Janakpur,5 wickets (with 25 balls remaining)
Karnali Yaks,Lumbini Lions,Lumbini Lions,field,Nepal Premier League,2024/25,William Bosisto,13 December 2024,"['Himal Giri', 'Rashid Riaz']",Karnali won by 5 runs,128/8,Karnali,5 runs
Biratnagar Kings,Chitwan Rhinos,Biratnagar Kings,bat,Nepal Premier League,2024/25,Basir Ahamad,13 December 2024,"['Bismillah Jan Shinwari', 'Buddhi Pradhan']",Biratnagar won by 51 runs,181/5,Biratnagar,51 runs
Pokhara Avengers,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Nepal Premier League,2024/25,Stephen Eskinazi,14 December 2024,"['Durga Subedi', 'Rashid Riaz']",Kathmandu won by 6 wickets (with 35 balls remaining),138/8,Kathmandu,6 wickets (with 35 balls remaining)
Chitwan Rhinos,Janakpur Bolts,Chitwan Rhinos,bat,Nepal Premier League,2024/25,Kushal Malla,14 December 2024,"['Sanjay Gurung', 'Vinay Kumar']",Chitwan won by 32 runs,180/5,Chitwan,32 runs
Biratnagar Kings,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Nepal Premier League,2024/25,Dipesh Kandel,15 December 2024,"['Buddhi Pradhan', 'Durga Subedi']",Kathmandu won by 1 wicket (with 11 balls remaining),117,Kathmandu,1 wicket (with 11 balls remaining)
Sudur Paschim,Pokhara Avengers,Pokhara Avengers,field,Nepal Premier League,2024/25,Scott Kuggeleijn,15 December 2024,"['Bismillah Jan Shinwari', 'Rashid Riaz']",S Paschim won by 5 runs,153/7,S Paschim,5 runs
Karnali Yaks,Sudur Paschim,Sudur Paschim,field,Nepal Premier League,2024/25,Dipendra Singh Airee,16 December 2024,"['Himal Giri', 'Sanjay Gurung']",S Paschim won by 6 wickets (with 28 balls remaining),101,S Paschim,6 wickets (with 28 balls remaining)
Karnali Yaks,Chitwan Rhinos,Chitwan Rhinos,field,Karnali Yaks (NPL) advanced,2024/25,Chadwick Walton,18 December 2024,"['Rashid Riaz', 'Sanjay Gurung']",Karnali won by 21 runs,175/6,Karnali,21 runs
Janakpur Bolts,Sudur Paschim,Janakpur Bolts,bat,Sudur Paschim Royals (NPL) advanced,2024/25,Binod Bhandari,18 December 2024,"['Bismillah Jan Shinwari', 'Buddhi Pradhan']",S Paschim won by 8 wickets (with 9 balls remaining),139/9,S Paschim,8 wickets (with 9 balls remaining)
Karnali Yaks,Janakpur Bolts,Janakpur Bolts,field,Janakpur Bolts (NPL) advanced,2024/25,James Neesham,19 December 2024,"['Durga Subedi', 'Vinay Kumar']",Janakpur won by 2 wickets (with 6 balls remaining),118/9,Janakpur,2 wickets (with 6 balls remaining)
Sudur Paschim,Janakpur Bolts,Sudur Paschim,bat,Nepal Premier League,2024/25,Lahiru Milantha,21 December 2024,"['Bismillah Jan Shinwari', 'Rashid Riaz']",Janakpur won by 5 wickets (with 4 balls remaining),184/9,Janakpur,5 wickets (with 4 balls remaining)
